web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576042829-18502","https://losestudiantes.co/","Julio Eduardo Cruz VasquezPsicología","https://losestudiantes.co/universidad-de-los-andes/psicologia/profesores/julio-eduardo-cruz-vasquez","Pros: Es muy facil, solo pregunta las definiciones del libro ni tienen que leer.Cons: Es muy aburrido! El tema es muy interesante y el vuelve las clases solo pasar slides.","2.5"
"1576042694-18244","https://losestudiantes.co/","Irma Alicia Flores HinojosEducación","https://losestudiantes.co/universidad-de-los-andes/educacion/profesores/irma-alicia-flores-hinojos","Al ser una clase blended learning, esperaba más acompañamiento de la profesora en las virtualidades. Nunca hubo una reunión sincrónica, ni nunca contestó mails. Se negociaron los porcentajes de notas en la primera clase, lo cual hizo que perdiera autoridad. 

La orientación en la elaboración del trabajo final fue casi nula. Toda la retroalimentación la daba la monitora. 

Las presencialidades, aunque estaban bien planeadas, no eran ordenadas y parecía que Irma se desesperaba cuando algo no salía como lo había planeado. Pros: Es amable y apasionadaCons: Es desordenada, ausente e impaciente si algo no le gusta.","2"
"1576042829-18514","https://losestudiantes.co/","Julio Eduardo Cruz VasquezPsicología","https://losestudiantes.co/universidad-de-los-andes/psicologia/profesores/julio-eduardo-cruz-vasquez","Julio le encanta lo que hace y lo lleva haciendo mucho tiempo. Algunas lecturas son muy largas y no todo entra en el parcial. Creo que el dinamismo de la clase se centra en el grupo, si las peronas no preguntan, no leen, no parabn bolas va a ser una mamera y muy aburrida porque el no mete terrorismo para despertar a las personas. , si uno cuesitiona y abre debate todo es muy chevere Pros: conoce del tema
es interesante lo que presenta
le gustaCons: lecuras muy largas","5"
"1576042790-18406","https://losestudiantes.co/","Monica Perez TrujilloPsicología","https://losestudiantes.co/universidad-de-los-andes/psicologia/profesores/monica-perez-trujillo","De las mejores profesoras de la carrera, 100% recomendadaPros: Apasionada
Estricta
Se preocupa porque el estudiante aprenda","5"
"1576042759-18330","https://losestudiantes.co/","Catalina Muñoz RojasCiencias Sociales","https://losestudiantes.co/universidad-de-los-andes/ciencias-sociales/profesores/catalina-mu%C3%B1oz-rojas","Es una clase muy interesante, ella lleva muy buenas diapositivas todas las clases lo cual hace que seguir el ritmo de la clase sea fácil, al igual que para tomar apuntes. No es necesario leer, pero si lo haces es un punto a favor ya que por lo general se comenta sobre las lecturas en las clases. No hace ningun tipo de quiz o examen. Son puros texto...
Leer más...Pros: Muy buena gente
Apasionada
Interesante
No es difícilCons: Califica fuerte pero justo","4.9"
"1576042815-18460","https://losestudiantes.co/","Diana Maria Agudelo VelezPsicología","https://losestudiantes.co/universidad-de-los-andes/psicologia/profesores/diana-maria-agudelo-velez","Pros: Sus clases son apasionantes y se aprende mucho. Diana es una profesora muy exigente, le encanta que así como ella asiste a las clases, los estudiantes respondan con prepararlas. Es muy apasionada y tiene un gran sentido de la justicia. Cons: - Exige mucho de parte de los estudiante pero tiende a quedar mal con las reuniones que les pone, o cuando los hace ir a la universidad a entregarles trabajos. A veces hace esperar por horas para atender al estudiante. 
- En varias ocasiones tiende a ser demasiado inflexible, puesto que establece de manera muy rígida las reglas del curso. No es pertinente romper ninguna regla con ella. 
- Puede exaltarse mucho cuando se enoja y eso asusta a algunos estudiantes.","4.6"
"1576042662-18209","https://losestudiantes.co/","Juan Pablo Aranguren RomeroPsicología","https://losestudiantes.co/universidad-de-los-andes/psicologia/profesores/juan-pablo-aranguren-romero","Pros: Juan Pablo es uno de los mejores profesores que he tenido, su experiencia y conocimiento lo hacen destarcarse. Es amable y su clase es interesante Cons: Deja muchas lecturas y largas","5"
"1576042775-18346","https://losestudiantes.co/","Jorge BaxterEducación","https://losestudiantes.co/universidad-de-los-andes/educacion/profesores/Jorge-baxter","Jorge es uno de los mejores profesores que he tenido. Todas sus clases fueron absolutamente interesantes.Son ese tipo de clases que uno disfruta mucho, cada una tiene un rumbo distinto lo cual las hace aún más entretenidas. Los trabajos son fáciles de llevar  y los debates que se establecen en clase son muy interesantes. Aprendí muchísimo y sin duda volvería a tomar una clase con Jorge.","5"
"1576042865-18610","https://losestudiantes.co/","Sandra Beatriz Sanchez LopezPeriodismo","https://losestudiantes.co/universidad-de-los-andes/periodismo/profesores/sandra-beatriz-sanchez-lopez","Esta clase me cambio la vida. Verdaderamente Sandra hace que cada sctividad sirva a un propósito mayor y eso hace sus clases tan especiales. Sus lecturas a veces pueden ser tediosas pero máximo son 4 clases de contextualizacion (que al fin y al cabo es muy importante y al entenderlo, bastante interesante). Construye con sus clases la capacidad de un pensamiento crítico increíble, sus invitados a clase son excelentes y acordes a todo. El único parcial que hay es muy fácil si uno va a clase. Ella recalca mucho que la asistencia no es obligatoria (a ciertas clases) y da las fechas en donde la asistencia si es necesaria. Lo hace de manera honesta y eso hace que las clases fluyan mucho mejor. Se abren espacios de discusión increíbles, siempre va al tiempo con el programa, y aunque a veces la gente dice que ella es intimidante, no lo creo, sólo tiene una relación muy personal con su clase y la admiro mucho por eso. Le encanta aprenderse todos los nombres de sus estudiantes, sus carreras, porque asÍ sabe qué ejemplos darte para que entiendas mejor los temas. Sabe muchísimo, un cerebrito increíble. Pros: La clase es súper entretenida
Sandra es lo máximo 
Las discusiones son muy interesantes
Invitados MUY WOWCons: El perfil de medios (trabajo final de la clase) es MUY tedioso si no se escoge un buen grupo","5"
"1576042794-18431","https://losestudiantes.co/","Fernando CardenasPsicología","https://losestudiantes.co/universidad-de-los-andes/psicologia/profesores/fernando-cardenas","Fernando es un apasionado y un genio en cuanto a la clase se refiere Se nota su experiencia en el campo investigativo, desarrolla una excelente clase magistral. Sin embargo, es una clase de por sí que requiere estudiar seguido para obtener excelentes resultados. Por otro lado, hace falta una metodología más asociativa ya que muchas temáticas que están relacionadas no se entienden como tal hasta el parcial final. Pros: Conoce muy bien el temaCons: Deja las notas a las monitoras","4"
